TERCİH KODU,İL,İLÇE,OKUL ADI,TÜRÜ,ALAN,YABANCI DİLİ,TABAN PUAN,TABAN YÜZDE,TAVAN PUAN,TAVAN YÜZDE,ORTALAMA GIRIS PUANI
50518,izmir,bornova,izmir esnaf ve sanatkarlar odalari birligi mesleki ve teknik anadolu lisesi,anadolu teknik programi,itfaiyecilik ve yangin guvenligi alani,ingilizce,247.9965,61.45,325.4395,27.39,286.718
49599,izmir,kemalpasa,kemalpasa mopak mesleki ve teknik anadolu lisesi,anadolu teknik programi,makine ve tasarim teknolojisi alani,ingilizce,247.2534,61.9,390.1934,11.68,318.72339999999997
50450,izmir,cigli,cigli 75. yil mesleki ve teknik anadolu lisesi,anadolu teknik programi,elektrik- elektronik teknolojisi alani,ingilizce,243.4056,64.26,385.4671,12.6,314.43635
50593,izmir,konak,konak cinarli mesleki ve teknik anadolu lisesi,anadolu teknik programi,makine ve tasarim teknolojisi alani,ingilizce,243.4022,64.27,359.5044,18.16,301.4533
49543,izmir,menemen,menemen mesleki ve teknik anadolu lisesi,anadolu teknik programi,elektrik- elektronik teknolojisi alani,ingilizce,239.3759,66.8,317.8569,29.85,278.6164
50722,izmir,bornova,bornova mimar sinan mesleki ve teknik anadolu lisesi,anadolu teknik programi,elektrik- elektronik teknolojisi alani,ingilizce,236.6814,68.56,358.3868,18.42,297.53409999999997
50554,izmir,buca,suleyman sah mesleki ve teknik anadolu lisesi,anadolu teknik programi,makine ve tasarim teknolojisi alani,ingilizce,234.2327,70.19,290.422,40.09,262.32735
49829,izmir,bornova,selcuk yasar boyacilik mesleki ve teknik anadolu lisesi,anadolu teknik programi,kimya teknolojisi alani,ingilizce,233.2802,70.82,302.9965,35.11,268.13835
40061,izmir,konak,sehit idari atase caglar yucel mesleki ve teknik anadolu lisesi,anadolu teknik programi,motorlu araclar teknolojisi alani,ingilizce,230.8673,72.47,375.8434,14.54,303.35535
39898,izmir,gaziemir,abdulhamit han cok programli anadolu lisesi,anadolu teknik programi,moda tasarim teknolojileri,ingilizce,230.6465,72.62,354.1444,19.45,292.39545
49745,izmir,karabaglar,karabaglar ataturk mesleki ve teknik anadolu lisesi,anadolu teknik programi,makine ve tasarim teknolojisi alani,ingilizce,224.5891,76.76,346.2055,21.45,285.3973
50266,izmir,konak,konak cinarli mesleki ve teknik anadolu lisesi,anadolu teknik programi,tesisat teknolojisi ve iklimlendirme alani,ingilizce,206.3351,88.89,291.7849,39.52,249.06
39959,izmir,bayrakli,bayrakli ali osman konakci mesleki ve teknik anadolu lisesi,anadolu teknik programi,grafik ve fotograf alani,ingilizce,203.5387,90.47,307.3064,33.51,255.42255
50636,izmir,karabaglar,karabaglar ataturk mesleki ve teknik anadolu lisesi,anadolu teknik programi,metalurji teknolojisi alani,ingilizce,180.7948,98.39,285.6059,42.15,233.20035000000001
72363,izmir,kiraz,kiraz mesleki ve teknik anadolu lisesi,anadolu teknik programi,hayvan yetistiriciligi ve sagligi,ingilizce,179.8854,98.54,364.0583,17.09,271.97185
49982,izmir,bornova,bornova mazhar zorlu mesleki ve teknik anadolu lisesi,anadolu teknik programi,plastik teknolojisi alani,ingilizce,178.7331,98.7,303.5276,34.91,241.13035000000002
39686,izmir,buca,suleyman sah mesleki ve teknik anadolu lisesi,anadolu teknik programi,insaat teknolojisi alani,ingilizce,178.4545,98.74,357.98,18.52,268.21725000000004
50807,izmir,konak,konak cinarli mesleki ve teknik anadolu lisesi,anadolu teknik programi,harita-tapu-kadastro alani,ingilizce,169.325,99.56,343.055,22.27,256.19
40198,izmir,torbali,torbali cumhuriyet mesleki ve teknik anadolu lisesi,anadolu teknik programi,tekstil teknolojisi alani,ingilizce,167.0763,99.67,350.3045,20.39,258.6904
39889,izmir,konak,konak alsancak nevvar-salih isgoren mesleki ve teknik anadolu lisesi,anadolu meslek programi,yiyecek icecek hizmetleri alani (sinavli),ingilizce,274.9866,47.02,363.7045,17.17,319.34555
49716,izmir,konak,konak alsancak nevvar-salih isgoren mesleki ve teknik anadolu lisesi,anadolu meslek programi,konaklama ve seyahat hizmetleri alani (sinavli),ingilizce,259.506,54.88,339.7851,23.16,299.64554999999996
39815,izmir,buca,buca necla-tevfik karadavut mesleki ve teknik anadolu lisesi,anadolu meslek programi,bilisim teknolojileri alani (sinavli),ingilizce,244.9749,63.3,385.4005,12.61,315.1877
39842,izmir,buca,buca necla-tevfik karadavut mesleki ve teknik anadolu lisesi,anadolu meslek programi,elektrik- elektronik teknolojisi alani (sinavli),ingilizce,207.4566,88.21,291.5619,39.62,249.50925
50430,izmir,konak,izmir dis ticaret mesleki ve teknik anadolu lisesi,anadolu meslek programi,pazarlama ve perakende alani (sinavli),ingilizce,199.5039,92.55,317.0438,30.12,258.27385
50840,izmir,konak,izmir dis ticaret mesleki ve teknik anadolu lisesi,anadolu meslek programi,muhasebe ve finansman alani (sinavli),ingilizce,185.6081,97.44,363.5704,17.2,274.58925
