TERCİH KODU,İL,İLÇE,OKUL ADI,TÜRÜ,ALAN,YABANCI DİLİ,TABAN PUAN,TABAN YÜZDE,TAVAN PUAN,TAVAN YÜZDE,ORTALAMA GIRIS PUANI
71767,AFYONKARAHİSAR,ŞUHUT,Şuhut Kız Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI,İngilizce,275.7638,46.65,374.174,14.88,324.96889999999996
50085,AFYONKARAHİSAR,SANDIKLI,Sandıklı Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI,İngilizce,271.4531,48.7,370.1177,15.75,320.7854
49487,AFYONKARAHİSAR,EMİRDAĞ,Emirdağ Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI,İngilizce,246.4433,62.39,380.2224,13.64,313.33285
49522,AFYONKARAHİSAR,MERKEZ,Afyonkarahisar Mesleki ve Teknik Anadolu Lisesi,Anadolu Teknik Programı,ELEKTRİK- ELEKTRONİK TEKNOLOJİSİ ALANI,İngilizce,286.0577,41.95,409.6897,8.29,347.8737
49707,AFYONKARAHİSAR,MERKEZ,Afyonkarahisar Mesleki ve Teknik Anadolu Lisesi,Anadolu Teknik Programı,BİLİŞİM TEKNOLOJİLERİ ALANI,İngilizce,276.4584,46.32,350.5233,20.33,313.49085
49606,AFYONKARAHİSAR,MERKEZ,Afyonkarahisar Mesleki ve Teknik Anadolu Lisesi,Anadolu Teknik Programı,MAKİNE VE TASARIM TEKNOLOJİSİ ALANI,İngilizce,253.8777,58.0,341.4825,22.7,297.68010000000004
49943,AFYONKARAHİSAR,MERKEZ,Afyonkarahisar Gazi Mesleki ve Teknik Anadolu Lisesi,Anadolu Teknik Programı,ENDÜSTRİYEL OTOMASYON TEKNOLOJİLERİ ALANI,İngilizce,251.3904,59.44,328.7819,26.35,290.08615
49643,AFYONKARAHİSAR,MERKEZ,Afyonkarahisar Gazi Mesleki ve Teknik Anadolu Lisesi,Anadolu Teknik Programı,RAYLI SİSTEMLER TEKNOLOJİSİ ALANI (SINAVLI),İngilizce,246.856,62.14,331.1769,25.62,289.01644999999996
40872,AFYONKARAHİSAR,MERKEZ,Afyonkarahisar Atatürk Mesleki ve Teknik Anadolu Lisesi,Anadolu Meslek Programı,SAĞLIK HİZMETLERİ ALANI (SINAVLI),İngilizce,346.0911,21.48,378.9321,13.89,362.5116
49642,AFYONKARAHİSAR,MERKEZ,Afyonkarahisar Gazi Mesleki ve Teknik Anadolu Lisesi,Anadolu Meslek Programı,RAYLI SİSTEMLER TEKNOLOJİSİ ALANI (SINAVLI),İngilizce,251.5477,59.35,326.8846,26.93,289.21614999999997
48687,AFYONKARAHİSAR,DİNAR,Dinar Mesleki ve Teknik Anadolu Lisesi,Anadolu Meslek Programı,ELEKTRİK- ELEKTRONİK TEKNOLOJİSİ ALANI (SINAVLI),İngilizce,189.5751,96.4,283.2968,43.17,236.43595
50573,AĞRI,MERKEZ,Ağrı Hüseyin Celal Yardımcı Fen Lisesi,Fen Lisesi,FEN BİLİMLERİ ALANI (FEN LİS.),İngilizce,408.2531,8.53,475.2722,0.71,441.76265
50160,AĞRI,PATNOS,Patnos Selahaddin Eyyubi Fen Lisesi,Fen Lisesi,FEN BİLİMLERİ ALANI (FEN LİS.),İngilizce,360.1383,18.0,427.3716,5.61,393.75495
65414,AĞRI,DOĞUBAYAZIT,Ömer Çoktin Fen Lisesi,Fen Lisesi,FEN BİLİMLERİ ALANI (FEN LİS.),İngilizce,356.4538,18.89,436.173,4.45,396.3134
39716,AĞRI,MERKEZ,Türk Telekom Sosyal Bilimler Lisesi,Sosyal Bilimler Lisesi,,İngilizce,330.4004,25.86,386.1488,12.46,358.27459999999996
50558,AĞRI,MERKEZ,Ağrı Dağı Anadolu Lisesi,Anadolu Lisesi,,İngilizce,355.4109,19.14,407.2059,8.7,381.3084
49613,AĞRI,MERKEZ,15 Temmuz Şehitleri Anadolu Lisesi,Anadolu Lisesi,,İngilizce,348.5539,20.84,406.9189,8.75,377.7364
39713,AĞRI,DOĞUBAYAZIT,Doğubeyazıt Rıza Ertuğrul Eryılmaz Anadolu Lisesi,Anadolu Lisesi,,İngilizce,315.9395,30.49,355.1241,19.21,335.5318
49737,AĞRI,MERKEZ,Hayrettin Atmaca Kız Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI,İngilizce,309.3234,32.79,390.9938,11.52,350.1586
49675,AĞRI,ELEŞKİRT,Recep Tayyip Erdoğan Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI,İngilizce,286.68,41.68,434.7382,4.63,360.70910000000003
49656,AĞRI,MERKEZ,Ağrı Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI,İngilizce,271.3165,48.77,342.6419,22.38,306.9792
49687,AĞRI,PATNOS,15 Temmuz Şehitleri Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI,İngilizce,248.8792,60.91,359.3991,18.18,304.13915
40060,AĞRI,DOĞUBAYAZIT,Fatımatü Zehra Kız Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI,İngilizce,243.1592,64.42,348.6626,20.81,295.91089999999997
72096,AĞRI,DOĞUBAYAZIT,Medine Müdafii Fahrettin Paşa Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI,İngilizce,228.3705,74.17,312.3631,31.72,270.3668
71853,AĞRI,DİYADİN,Diyadin Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI,İngilizce,191.5081,95.79,359.6833,18.12,275.59569999999997
50652,AĞRI,MERKEZ,Nurettin Dolgun Mesleki ve Teknik Anadolu Lisesi,Anadolu Teknik Programı,ELEKTRİK- ELEKTRONİK TEKNOLOJİSİ ALANI,İngilizce,258.791,55.27,312.8205,31.56,285.80575
50313,AĞRI,MERKEZ,Nurettin Dolgun Mesleki ve Teknik Anadolu Lisesi,Anadolu Teknik Programı,TESİSAT TEKNOLOJİSİ VE İKLİMLENDİRME ALANI,İngilizce,246.9075,62.11,297.0156,37.41,271.96155
49850,AKSARAY,MERKEZ,Aksaray Şehit Pilot Hamza Gümüşsoy Fen Lisesi,Fen Lisesi,FEN BİLİMLERİ ALANI (FEN LİS.),İngilizce,451.4014,2.68,494.774,0.04,473.08770000000004
50246,AKSARAY,MERKEZ,Abdülhamid Han Fen Lisesi,Fen Lisesi,FEN BİLİMLERİ ALANI (FEN LİS.),İngilizce,438.7809,4.13,483.2713,0.3,461.0261
49604,AKSARAY,ORTAKÖY,Şehit Nurullah Sabırer Fen Lisesi,Fen Lisesi,FEN BİLİMLERİ ALANI (FEN LİS.),İngilizce,371.7494,15.39,437.0125,4.34,404.38095
50537,AKSARAY,MERKEZ,Ahmet Cevdet Paşa Sosyal Bilimler Lisesi,Sosyal Bilimler Lisesi,,İngilizce,391.0205,11.52,434.7179,4.63,412.8692
50692,AKSARAY,MERKEZ,Hazım Kulak Anadolu Lisesi,Anadolu Lisesi,,İngilizce,417.6898,7.04,441.6609,3.77,429.67535
