iter	Passed	Remaining
1550	82705	450536
1551	82752	450447
1552	82802	450374
1553	82855	450318
1554	82913	450289
1555	82960	450204
1556	83006	450113
1557	83056	450040
1558	83104	449960
1559	83155	449892
1560	83199	449787
1561	83249	449719
1562	83300	449650
1563	83354	449600
1564	83411	449571
1565	83466	449524
1566	83514	449441
1567	83561	449353
1568	83605	449255
1569	83652	449166
1570	83707	449121
1571	83753	449029
1572	83805	448971
1573	83864	448947
1574	83910	448857
1575	83958	448774
1576	84003	448674
1577	84053	448606
1578	84098	448505
1579	84146	448424
1580	84195	448350
1581	84246	448284
1582	84298	448226
1583	84348	448157
1584	84405	448121
1585	84452	448032
1586	84503	447967
1587	84549	447877
1588	84603	447826
1589	84648	447731
1590	84699	447667
1591	84747	447583
1592	84798	447518
1593	84843	447426
1594	84900	447390
1595	84942	447280
1596	84996	447229
1597	85047	447166
1598	85096	447089
1599	85143	447004
1600	85190	446916
1601	85247	446886
1602	85289	446771
1603	85338	446694
1604	85391	446644
1605	85441	446574
1606	85491	446503
1607	85537	446413
1608	85589	446350
1609	85708	446644
1610	85770	446634
1611	85832	446625
1612	85891	446605
1613	85955	446605
1614	86010	446561
1615	86055	446465
1616	86100	446368
1617	86149	446294
1618	86201	446235
1619	86249	446156
1620	86300	446091
1621	86353	446036
1622	86414	446021
1623	86459	445928
1624	86512	445872
1625	86571	445850
1626	86625	445800
1627	86681	445759
1628	86737	445723
1629	86794	445687
1630	86845	445619
1631	86888	445518
1632	86942	445465
1633	86990	445386
1634	87048	445358
1635	87100	445299
1636	87157	445267
1637	87221	445265
1638	87283	445258
1639	87331	445175
1640	87387	445138
1641	87433	445050
1642	87489	445011
1643	87556	445023
1644	87605	444951
1645	87661	444911
1646	87721	444890
1647	87778	444856
1648	87833	444813
1649	87894	444798
1650	87954	444781
1651	88011	444747
1652	88063	444684
1653	88113	444616
1654	88168	444573
1655	88226	444544
1656	88275	444468
1657	88328	444414
1658	88383	444368
1659	88442	444345
1660	88497	444299
1661	88552	444252
